contact_id,age,education,marital_status,income,kids,dt_customer,country,lifecycle_stage
1826,55,Graduation,Divorced,84835.00,0,2014-06-16,Spain,Customer
1,64,Graduation,Single,57091.00,0,2014-06-15,Canada,Lead
10476,67,Graduation,Married,67267.00,1,2014-05-13,USA,Lead
1386,58,Graduation,Together,32474.00,2,2014-05-11,Australia,Lead
5371,36,Graduation,Single,21474.00,1,2014-04-08,Spain,Lead
7348,67,PhD,Single,71691.00,0,2014-03-17,Spain,Customer
4073,71,2n Cycle,Married,63564.00,0,2014-01-29,Germany,Customer
1991,58,Graduation,Together,44931.00,1,2014-01-18,Spain,Lead
4047,71,PhD,Married,65324.00,1,2014-01-11,USA,Lead
9477,71,PhD,Married,65324.00,1,2014-01-11,India,Lead
2079,78,2n Cycle,Married,81044.00,0,2013-12-27,USA,Customer
5642,46,Master,Together,62499.00,1,2013-12-09,Spain,Lead
10530,66,PhD,Widow,67786.00,0,2013-12-07,India,Customer
2964,44,Graduation,Married,26872.00,0,2013-10-16,Canada,Lead
10311,56,Graduation,Married,4428.00,1,2013-10-05,Spain,Lead
837,48,Graduation,Married,54809.00,2,2013-09-11,Spain,Lead
10521,48,Graduation,Married,54809.00,2,2013-09-11,Spain,Lead
10175,67,PhD,Divorced,32173.00,1,2013-08-01,Spain,Lead
1473,65,2n Cycle,Single,47823.00,1,2013-07-23,Canada,Lead
2795,67,Master,Single,30523.00,3,2013-07-01,Canada,Lead
2285,71,Master,Together,36634.00,1,2013-05-28,Saudi Arabia,Lead
115,59,Master,Single,43456.00,1,2013-03-26,India,Lead
10470,46,Master,Married,40662.00,1,2013-03-15,Germany,Lead
4065,49,PhD,Married,49544.00,1,2013-02-12,Spain,Lead
10968,56,Graduation,Single,57731.00,1,2012-11-23,India,Lead
5985,60,Master,Single,33168.00,1,2012-10-13,Spain,Lead
5430,69,Graduation,Together,54450.00,2,2012-09-14,Spain,Lead
8432,69,Graduation,Together,54450.00,2,2012-09-14,Spain,Lead
453,69,PhD,Widow,35340.00,2,2014-06-29,Spain,Lead
9687,50,Graduation,Single,73170.00,0,2014-05-31,Canada,Lead
8890,54,PhD,Divorced,65808.00,2,2014-05-30,Spain,Lead
9264,39,Graduation,Married,79529.00,0,2014-04-27,Canada,Customer
5824,53,PhD,Together,34578.00,3,2014-04-11,Australia,Lead
5794,51,PhD,Married,46374.00,1,2014-03-17,India,Lead
3068,35,Graduation,Married,18351.00,0,2013-10-29,Spain,Lead
7962,38,PhD,Single,95169.00,0,2013-10-09,Spain,Customer
2681,41,2n Cycle,Married,65370.00,0,2013-08-01,Spain,Lead
10141,65,Master,Divorced,39228.00,0,2013-05-10,Saudi Arabia,Lead
3725,64,PhD,Single,84865.00,0,2013-05-09,Spain,Customer
3767,57,Graduation,Married,61314.00,1,2013-04-25,Spain,Customer
5585,53,Graduation,Single,21359.00,1,2013-04-20,Canada,Lead
7030,70,PhD,Married,66465.00,1,2013-03-30,Spain,Customer
1524,42,2n Cycle,Single,81698.00,0,2013-03-01,Spain,Customer
3657,39,Graduation,Single,39146.00,1,2013-02-14,Spain,Lead
5740,55,2n Cycle,Divorced,25959.00,2,2013-02-14,Spain,Lead
