campaign_id,contact_id,campaign_name,sends,opens,clicks,send_date
1,1826,Campaign_1,1,1,0,2014-06-16
2,1826,Campaign_2,1,1,0,2014-06-16
3,1826,Campaign_3,1,1,0,2014-06-16
4,1826,Campaign_4,1,1,0,2014-06-16
5,1826,Campaign_5,1,1,0,2014-06-16
6,1826,Final_Response,1,1,1,2014-06-16
1,1,Campaign_1,1,1,0,2014-06-15
2,1,Campaign_2,1,1,0,2014-06-15
3,1,Campaign_3,1,1,0,2014-06-15
4,1,Campaign_4,1,1,0,2014-06-15
5,1,Campaign_5,1,1,1,2014-06-15
6,1,Final_Response,1,1,1,2014-06-15
1,10476,Campaign_1,1,1,0,2014-05-13
2,10476,Campaign_2,1,1,0,2014-05-13
3,10476,Campaign_3,1,1,0,2014-05-13
4,10476,Campaign_4,1,1,0,2014-05-13
5,10476,Campaign_5,1,1,0,2014-05-13
6,10476,Final_Response,1,1,0,2014-05-13
1,1386,Campaign_1,1,1,0,2014-05-11
2,1386,Campaign_2,1,1,0,2014-05-11
3,1386,Campaign_3,1,1,0,2014-05-11
4,1386,Campaign_4,1,1,0,2014-05-11
5,1386,Campaign_5,1,1,0,2014-05-11
6,1386,Final_Response,1,1,0,2014-05-11
1,5371,Campaign_1,1,1,1,2014-04-08
2,5371,Campaign_2,1,1,0,2014-04-08
3,5371,Campaign_3,1,1,0,2014-04-08
4,5371,Campaign_4,1,1,0,2014-04-08
5,5371,Campaign_5,1,1,0,2014-04-08
6,5371,Final_Response,1,1,1,2014-04-08
1,7348,Campaign_1,1,1,0,2014-03-17
2,7348,Campaign_2,1,1,0,2014-03-17
3,7348,Campaign_3,1,1,0,2014-03-17
4,7348,Campaign_4,1,1,0,2014-03-17
5,7348,Campaign_5,1,1,0,2014-03-17
6,7348,Final_Response,1,1,1,2014-03-17
1,4073,Campaign_1,1,1,1,2014-01-29
2,4073,Campaign_2,1,1,0,2014-01-29
3,4073,Campaign_3,1,1,0,2014-01-29
4,4073,Campaign_4,1,1,0,2014-01-29
5,4073,Campaign_5,1,1,0,2014-01-29
6,4073,Final_Response,1,1,1,2014-01-29
1,1991,Campaign_1,1,1,0,2014-01-18
2,1991,Campaign_2,1,1,0,2014-01-18
3,1991,Campaign_3,1,1,0,2014-01-18
4,1991,Campaign_4,1,1,0,2014-01-18
5,1991,Campaign_5,1,1,0,2014-01-18
6,1991,Final_Response,1,1,0,2014-01-18
1,4047,Campaign_1,1,1,0,2014-01-11
2,4047,Campaign_2,1,1,0,2014-01-11
3,4047,Campaign_3,1,1,0,2014-01-11
4,4047,Campaign_4,1,1,0,2014-01-11
5,4047,Campaign_5,1,1,0,2014-01-11
6,4047,Final_Response,1,1,0,2014-01-11
1,9477,Campaign_1,1,1,0,2014-01-11
2,9477,Campaign_2,1,1,0,2014-01-11
3,9477,Campaign_3,1,1,0,2014-01-11
4,9477,Campaign_4,1,1,0,2014-01-11
